Date,P.D,Temp
2017-01-11,17455.59625,-1.8
2017-01-11,16593.82375,-2.3
2017-01-11,16294.77625,-2.8
2017-01-11,15773.4175,-2.9
2017-01-11,14865.9925,-2.7
2017-01-11,14415.52,-1.9
2017-01-12,14507.21875,-1.2
2017-01-12,14284.165,-0.8
2017-01-12,14149.075,-0.7
2017-01-12,14017.7875,-0.9
2017-01-12,13993.72375,-1.4
2017-01-12,14339.47,-1.5
2017-01-12,15582.9775,-1.1
2017-01-12,18040.6525,-1.2
2017-01-12,19563.2275,-1.9
2017-01-12,19791.43375,-2.4
2017-01-12,19754.815,-1.3
2017-01-12,19713.24625,-1
2017-01-12,19102,0
2017-01-12,19769.54125,0.4
2017-01-12,19260.3325,0.9
2017-01-12,19673.73625,0.2
2017-01-12,19726.285,0.6
2017-01-12,18872.10625,-1.3
2017-01-12,17645.0125,-2.5
2017-01-12,17152.69,-3.4
2017-01-12,16664.06875,-4.1
2017-01-12,16272.085,-4.7
2017-01-12,15358.675,-5.3
2017-01-12,15573.8425,-5.7
2017-01-13,14890.91125,-6.1
2017-01-13,14384.88625,-6.4
2017-01-13,14215.225,-6.6
2017-01-13,14148.445,-6.6
2017-01-13,14242.77625,-7.2
2017-01-13,14601.49375,-7.2
2017-01-13,16282.82875,-7.4
2017-01-13,19039.63,-7.2
2017-01-13,20051.59,-6.7
2017-01-13,20441.90875,-6.9
2017-01-13,21149.77,-6.9
2017-01-13,20665.5925,-7
2017-01-13,19689.50875,-5.4
2017-01-13,20087.32,-3.7
2017-01-13,20428.88125,-2.2
2017-01-13,20261.965,-1.4
2017-01-13,19280.36875,-2
2017-01-13,19301.755,-3
2017-01-13,17875.51375,-4.1
2017-01-13,17193.3025,-4.9
2017-01-13,16621.5775,-6.8
2017-01-13,16188.71125,-7.7
2017-01-13,15405.05875,-8.1
2017-01-13,15165.7375,-8.6
2017-01-14,15192.0175,-8.6
2017-01-14,14756.63125,-8.7
2017-01-14,14556.20125,-8.9
2017-01-14,14411.77375,-8.8
2017-01-14,14417.12875,-9.2
2017-01-14,14391.2875,-9.5
2017-01-14,15014.9425,-9.6
2017-01-14,15499.15375,-9.9
2017-01-14,15743.14375,-10.5
2017-01-14,16408.55875,-10.3
2017-01-14,16996.855,-9.5
2017-01-14,17076.6175,-8.3
2017-01-14,16685.725,-7.5
2017-01-14,16345.5925,-6.7
2017-01-14,16244.0725,-6.1
2017-01-14,16158.01,-5.7
2017-01-14,16159.4275,-5.5
2017-01-14,15679.87375,-6.5
2017-01-14,15521.62,-7.3
